light0,light1,light2,light3,light4,light5,light6,light7
0.24,0.25,0.04,0.04,0.033,0.079,0.15,0.17
0.099,0.28,0.18,0.12,0.083,0.15,0.17,0.083
0.051,0.16,0.25,0.18,0.17,0.179,0.12,0.048
0.03,0.16,0.18,0.17,0.18,0.28,0.16,0.05
0.076,0.23,0.17,0.083,0.12,0.24,0.26,0.012
0.162,0.17,0.083,0.033,0.04,0.099,0.25,0.18
